Food Name,Protein,Carbohydrate,ENERgy(Kcal),Calcium,Iron
Bajra(Pennisetum typhoideum),11.6,67.5,361,42,8
Barley (Hordeum vulgare),11.5,69.6,336,26,1.67
Italian millet,12.3,60.9,331,31,2.8
Jowar(Sorghum vulgare),10.4,72.6,349,25,4.1
Maize dry(Zea mays),11.1,66.2,342,10,2.3
"Maize,tender,local(Zea mays)",4.7,24.6,125,9,1.1
Panivaragu,12.5,70.4,341,14,0.8
Ragi(Eleusine coracana),7.3,72,328,344,3.9
"Rice,parboiled,handpounded",8.5,77.4,349,10,2.8
"Rice,parboiled,milled(oryza sativa)",6.4,79,346,9,1
"Rice,parboiled,handpounded",7.5,76.7,346,10,3.2
" Rice, raw, milled (Oryza sativa)",6.8,78.2,345,10,0.7
"Rice,bran",13.5,48.4,393,67,35
Rice flakes(Oryza sativa),6.6,77.3,346,20,20
Rice puffed(Oryza sativa),7.5,73.6,325,23,6.6
Samai (Panicum miliare),7.7,67,341,17,9.3
Sanwa millet,6.2,65.5,307,20,5
 Varagu (Paspalum scrobiculatum),8.3,65.9,309,27,0.5
"Wheat, bulgur (Triticum aestivum)",4.2,77.2,356,37,1.9
Wheat whole,11.8,71.2,346,41,5.3
"Wheat flour, whole (Triticum aestivum)",12.1,69.4,341,48,4.9
"Wheat flour, refined (Triticum aestivum)",11,73.9,348,23,2.7
"Wheat, germ (Triticum aestivum)",29.2,53.3,397,40,6
"Wheat, semolina (Triticum aestivum)",10.4,74.8,348,16,1.6
"Wheat, vermicelli (Triticum aestivum)",8.7,78.3,352,22,2
"Wheat, bread,brown(Triticum aestivum)",8.8,49,244,18,2.2
"Wheat, bread,white(Triticum aestivum)",7.8,51.9,245,11,1.1
"Bengal gram, whole (Cicer arietinum)",17.1,60.9,360,202,4.6
"Bengal gram, dal (Cicer arietinum)",20.8,59.8,372,56,5.3
"Bengal gram,roasted",22.5,58.1,369,58,9.5
"Black gram, dal (Phaseolus mungo)",24,49.6,347,154,3.8
Cowpea,24.1,54.5,343,77,8.6
"Field bean, dry (Phaseolus vulgaris)",24.9,60.1,347,60,2.7
"Green gram, whole (Vigna radiata)",24,46.7,334,124,4.4
"Green gram, dal (Vigna radiata)",24.5,49.7,348,15,3.9
"Horse gram, whole (Dolichos biflorus)",22,37.2,321,287,6.77
"Khesari,dal",28,56.6,345,90,6.3
Lentil ,25.1,59,343,69,7.58
Moth bean (Vigna aconitifolia),23.6,46.5,330,202,9.5
"Peas,green",7.2,15.9,93,20,1.5
"Peas, dry (Pisum sativum)",19.7,46.5,315,75,1.05
"Peas, roasted",22.9,58.8,340,81,6.4
Rajmah,22.9,60.6,346,260,5.1
"Red gram, dal (Cajanus cajan)",22.3,37.6,335,73,2.7
"Red gram, tender ",9.8,16.9,116,57,1.1
"Soybean, brown (Glycine max)",43.2,20.9,432,240,10.4
Agathi leaves (Sesbania grandiflora),8.4,11.8,93,1130,3.9
"Amaranth leaves,  caudatus",3,2,26,200,
"Amaranth leaves, tender(Amaranthus gangeticus)",4,6.1,45,387,3.49
